	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
AT1G02220	0.011262629	0.019700788	0.0	0.010351904	0.0100402655	0.032158613	0.0023792551	0.022537293	0.03603823	0.012827611	0.024039999	0.017211504	0.005198519
AT1G02230	0.13721275	0.33151183	0.079956226	0.08077278	0.06530541	0.16872603	0.07605558	0.16854294	0.14627604	0.08715446	0.058674652	0.10391788	0.14238256
AT1G02250	0.0	0.0025071027	0.0024701043	0.0	0.0	0.00038048773	0.0006571679	0.0011248358	0.000527008	0.0	0.0	0.0	0.0
AT1G02260	0.01299751	0.0478322	0.03518776	0.0	0.004074755	0.08389375	0.0566685	0.052635442	0.0049185357	0.006694639	0.002905887	0.00798174	0.0
AT1G02270	0.24221209	0.18719442	0.1830362	0.086175896	0.06926114	0.2529935	0.21014555	0.26202148	0.09208212	0.06443114	0.06680618	0.12382312	0.116325766
AT1G02280	0.031883795	0.00735151	0.037105847	0.07611917	0.031989355	0.04899887	0.03388774	0.020802123	0.1476993	0.061012674	0.006238588	0.11064464	0.0062534134
AT1G02290	0.0044469982	0.0	0.0037223077	0.035063032	0.04569822	0.002418548	0.0042420523	0.0017118353	0.011640599	0.013410104	0.0059581716	0.020402357	0.032645103
AT1G02300	0.0	0.0	0.0	0.0	0.0	0.00090599665	0.00046055173	0.0	0.0018216711	0.0	0.009998811	0.0	0.0
AT1G02305	1.1877766	0.7667231	1.0092498	0.6888362	0.72909045	0.6930285	0.5352695	1.1301788	0.79492503	0.5637449	1.0728602	0.6373105	0.46731508
AT1G02310	0.12610891	0.014455744	0.0072393464	0.0061656153	0.0067018415	0.10038074	0.013842936	0.14005546	0.0056273085	0.014471341	0.012952113	0.026016174	0.004950802
AT1G04103	0.00094199117	0.00015850845	0.0	0.0	0.0	0.0013314238	0.0	0.0035722116	0.00024104862	0.0	0.0	0.0	0.0
AT1G02330	0.25919354	0.24684754	0.19539756	0.17614117	0.09667556	0.16675842	0.29028788	0.19468327	0.23682502	0.15203598	0.17098679	0.18063052	0.10749701
AT1G02335	0.00037526645	0.0038166968	0.0	0.0	0.0	0.00030478803	0.006045978	0.0018387035	0.009224941	0.0019418113	1.4911691	0.0	0.0
AT1G02340	0.030345306	0.10162943	0.0009808781	0.0042342506	0.018504875	0.049202655	0.004158656	0.03754764	0.010147408	0.0062553366	0.013425028	0.001867955	0.003966352
AT1G02350	0.0011757792	0.008622529	0.0020499052	0.00091537053	0.00044803607	0.0016369412	0.004698092	0.0020670937	0.004139915	0.0018604994	0.0	0.0	0.013638092
AT1G02360	0.021700356	0.1328524	0.50803167	0.020291513	0.03666281	0.052155934	0.305507	0.8782152	0.024660835	0.02361852	0.018977178	0.011058895	0.018001918
AT1G02370	0.007912914	0.00293936	0.008686989	0.0025719244	0.0	0.005772602	0.015328859	0.009470961	0.004111762	0.0031340262	0.0	0.0	0.0
AT1G02380	0.0038618967	0.09716059	0.0040634596	0.0068352283	0.07513492	0.0053753983	0.005286983	0.005512023	0.010784807	0.0117082475	0.0013076431	0.009624609	0.031806555
AT1G02390	0.0024881205	0.009283861	0.08185871	0.0027191935	0.0	0.0011878387	0.39176634	0.032612793	0.0014970873	0.0024071895	0.0036660398	0.006228231	0.0
AT1G02400	0.30015826	0.1578361	0.055433	0.15015885	0.06467581	0.14824168	0.02870762	0.107287094	0.12824559	0.41039523	0.13069504	0.3979091	0.04147073
AT1G02405	0.00014696323	0.0	0.0	0.00037469665	0.0	0.0007775263	0.00455553	0.0015374658	0.00022661441	0.0020348881	0.000953918	0.0069153556	0.0
