pathway	cfd_covariate	correlation	p_value	n	fdr
cell_wall_biosynthesis	carbon_12h_pct_earth	0.23737375546793416	2.641294725654057e-05	307	2.958250092732544e-05
cell_wall_biosynthesis	delta_mm	0.31666457863341924	1.4079533675744465e-08	307	3.8150994476210804e-08
lignin_biosynthesis	g_bl_mol_m2_s	-0.27468023066288516	1.0213303584580859e-06	307	1.6187122662354568e-06
lignin_biosynthesis	carbon_12h_pct_earth	0.28125013999064025	5.463578433394394e-07	307	8.998835066767238e-07
lignin_biosynthesis	delta_mm	0.2677356984233979	1.944221811915312e-06	307	2.7680446135743425e-06
oxidative_stress	g_bl_mol_m2_s	-0.34051287593445745	9.013642099206523e-10	307	4.732162102083425e-09
oxidative_stress	carbon_12h_pct_earth	0.26470028240412585	2.56165445340022e-06	307	3.527524165338008e-06
oxidative_stress	delta_mm	0.333280971759661	2.1271426323741458e-09	307	8.121817323610375e-09
heat_shock	g_bl_mol_m2_s	-0.42769270000391885	4.389959080194334e-15	307	1.2291885424544135e-13
heat_shock	carbon_12h_pct_earth	0.12809399750908987	0.02480111691130896	307	0.02509992554879461
heat_shock	delta_mm	0.4212201303306482	1.2380780132301252e-14	307	2.0799710622266105e-13
dna_damage_response	g_bl_mol_m2_s	-0.3091595156750542	3.1859551201037296e-08	307	7.433895280242036e-08
dna_damage_response	carbon_12h_pct_earth	0.27120685264853917	1.412443450285597e-06	307	2.1186651754283955e-06
dna_damage_response	delta_mm	0.3026671591001313	6.340758535781882e-08	307	1.2632925118255162e-07
gravitropism_signaling	g_bl_mol_m2_s	-0.3160095992105613	1.5133267529210492e-08	307	3.857271619673417e-08
gravitropism_signaling	carbon_12h_pct_earth	0.25199330114665924	7.836445769840952e-06	307	9.82479768159164e-06
gravitropism_signaling	delta_mm	0.30295427227905986	6.152846927467918e-08	307	1.2605832729446468e-07
